step,left_arm_j1,left_arm_j2,left_arm_j3,left_arm_j4,left_arm_j5,left_arm_j6,left_arm_j7,right_arm_j1,right_arm_j2,right_arm_j3,right_arm_j4,right_arm_j5,right_arm_j6,right_arm_j7,left_hand_j1,left_hand_j2,left_hand_j3,left_hand_j4,left_hand_j5,left_hand_j6,right_hand_j1,right_hand_j2,right_hand_j3,right_hand_j4,right_hand_j5,right_hand_j6
38,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.6507111215326447,-1.2512963581858723,0.32518974569895126,-1.1643789028470108,-2.4327795462919717,1.2070697745951444,2.963289757551244,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
39,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.650850737752792,-1.2513138018910124,0.32531191821395866,-1.1645011419410454,-2.4579821049518276,1.2367403186158263,2.9954389055984625,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
40,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.28651325639897574,-0.5590638920978023,0.5916666430576886,0.6513394278128216,-1.2513661330064325,0.32538172632403234,-1.1645883604667455,-2.4884031277676937,1.2680166156157713,3.016278141128333,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
41,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5916666430576886,0.6673266501526762,-1.251523259510747,0.32536428261889233,-1.1646406915821657,-2.5048092653470175,1.2783490148550063,3.0398399262405906,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
42,-0.10979866131217147,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590987795080824,0.5916666430576886,0.6962118279678937,-1.2517501608356219,0.3253468389137523,-1.1646582684453601,-2.511650926187431,1.277964987025817,3.0635591041732724,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
43,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9960070676714217,0.28656562080390946,-0.5590638920978023,0.5916666430576886,0.7237706184021971,-1.2525878581565062,0.3253468389137523,-1.1646582684453601,-2.511877827512306,1.2774937406709272,3.0887091985596538,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
44,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9959721136821144,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.7532492150873115,-1.2531114356268158,0.3253468389137523,-1.1648850366121803,-2.5120522645637062,1.2772493956409126,3.112655011501101,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
45,-0.10979866131217147,-1.373975539590645,-1.114829059711378,-0.9960070676714217,0.2865307001041158,-0.5590813358029424,0.5917015304679687,0.7810522839726025,-1.253093991921676,0.32531191821395866,-1.1648501492019003,-2.512139616247461,1.2761847969951534,3.125378529925064,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
46,-0.10976375725713464,-1.3739580958855049,-1.114829059711378,-0.9960070676714217,0.28656562080390946,-0.5590813358029424,0.5916666430576886,0.8033227022722811,-1.25361770255004,0.32531191821395866,-1.1648152617916203,-2.5121745036577408,1.275504093020529,3.1353968093137237,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
47,-0.10979866131217147,-1.3739580958855049,-1.114863947121658,-0.9960245113765617,0.2865307001041158,-0.5590638920978023,0.5916666430576886,0.819658998452018,-1.2597786594158293,0.3253468389137523,-1.1648327054967602,-2.511005109623087,1.2639848560415003,3.1443852443088502,0.0002898550724637681,0.6998335254193879,0.7003453126998337,0.0003992547245142401,0.0,0.0,0.0011594202898550724,0.6998335254193879,0.7000895255147717,0.0003992547245142401,0.0,1.0
